date,strategy,return
2024-02-29,Ridge,0.031124707639405447
2024-02-29,SPY,0.05218669346627158
2024-03-31,EqualWeight,0.04354912798504776
2024-03-31,GB,0.021625825682944466
2024-03-31,HistMean,0.01715177790019536
2024-03-31,MomentumTop3,0.01715177790019536
2024-03-31,RF,0.02372855296647976
2024-03-31,Ridge,0.02657590153950965
2024-03-31,SPY,0.0327019903329453
2024-04-30,EqualWeight,-0.031073693279434864
2024-04-30,GB,-0.02359363812689515
2024-04-30,HistMean,-0.03409794442887907
2024-04-30,MomentumTop3,-0.04488404952024727
2024-04-30,RF,-0.039045339301206794
2024-04-30,Ridge,-0.039657122296425
2024-04-30,SPY,-0.04031953417292922
2024-05-31,EqualWeight,0.032015430420088066
2024-05-31,GB,0.027908025777496404
2024-05-31,HistMean,0.027908025777496404
2024-05-31,MomentumTop3,0.03962001401768722
2024-05-31,RF,0.03335614315308473
2024-05-31,Ridge,0.007528798845568342
2024-05-31,SPY,0.05057971760877722
2024-06-30,EqualWeight,0.0015726493739533437
2024-06-30,GB,0.027484061638683555
2024-06-30,HistMean,0.01810788147340477
2024-06-30,MomentumTop3,0.019882179780741506
2024-06-30,RF,0.027484061638683555
2024-06-30,Ridge,0.0182196387215597
2024-06-30,SPY,0.03528012855736318
2024-07-31,EqualWeight,0.03173395898805842
2024-07-31,GB,0.007228124920492813
2024-07-31,HistMean,0.012969367592311895
2024-07-31,MomentumTop3,0.017910736200071033
2024-07-31,RF,0.007228124920492813
2024-07-31,Ridge,0.03263231834113071
2024-07-31,SPY,0.012109031554593752
2024-08-31,EqualWeight,0.026661406351503183
2024-08-31,GB,0.018536807655950116
2024-08-31,HistMean,0.02695772835481576
2024-08-31,MomentumTop3,0.026957728354815764
2024-08-31,RF,0.018536807655950116
2024-08-31,Ridge,0.03615878271464268
2024-08-31,SPY,0.023365434996028167
2024-09-30,EqualWeight,0.020547958468317275
2024-09-30,GB,0.027643444268038997
2024-09-30,HistMean,0.018172296488597528
2024-09-30,MomentumTop3,0.028975385603285865
2024-09-30,RF,0.027643444268038997
2024-09-30,Ridge,0.030021801996698277
2024-09-30,SPY,0.02100475865224083
2024-10-31,EqualWeight,-0.014796423312692843
2024-10-31,GB,-0.012139530232688323
2024-10-31,HistMean,-0.0006277622706080122
2024-10-31,MomentumTop3,-0.00025532257387524473
2024-10-31,RF,-0.0264606964425567
2024-10-31,Ridge,-0.011304216612423795
2024-10-31,SPY,-0.008923673517209463
2024-11-30,EqualWeight,0.05940216837675121
2024-11-30,GB,0.04830773140997957
2024-11-30,HistMean,0.0773930179907903
2024-11-30,MomentumTop3,0.07275694259456984
2024-11-30,RF,0.044571959067641956
2024-11-30,Ridge,0.05637985834694703
2024-11-30,SPY,0.05963370312357963
2024-12-31,EqualWeight,-0.05792006078628701
2024-12-31,GB,-0.04390818594516699
2024-12-31,HistMean,-0.01567554686220729
2024-12-31,MomentumTop3,-0.071562362548243
2024-12-31,RF,-0.048801916123049696
2024-12-31,Ridge,-0.0834963658042919
2024-12-31,SPY,-0.024060208830796292
2025-01-31,EqualWeight,0.03578993094903474
2025-01-31,GB,0.04778316334104652
2025-01-31,HistMean,0.030824026175210812
2025-01-31,MomentumTop3,0.04292004270719969
2025-01-31,RF,0.02691012380557019
2025-01-31,Ridge,0.0506002288402696
2025-01-31,SPY,0.02685632474815458
2025-02-28,EqualWeight,0.00307144601717065
2025-02-28,GB,-0.003062584042991978
2025-02-28,HistMean,-0.02630035139847442
2025-02-28,MomentumTop3,-0.012939716831301018
2025-02-28,RF,0.014276786283203355
2025-02-28,Ridge,-0.025163176009607862
2025-02-28,SPY,-0.012694834127274901
2025-03-31,EqualWeight,-0.028949352942965672
2025-03-31,GB,-0.002527946311489263
2025-03-31,HistMean,-0.06932002052177558
2025-03-31,MomentumTop3,-0.04090196357465462
2025-03-31,RF,-0.011240951426829718
2025-03-31,Ridge,-0.03869867665327205
2025-03-31,SPY,-0.05571901171809257
2025-04-30,EqualWeight,-0.02247563151288164
2025-04-30,GB,-0.006433930261540562
2025-04-30,HistMean,-0.0010111710379673289
2025-04-30,MomentumTop3,-0.0071529894995206265
2025-04-30,RF,-0.05408359656392084
2025-04-30,Ridge,-0.053913510561278355
2025-04-30,SPY,-0.008670289302467826
2025-05-31,EqualWeight,0.03931699796544194
2025-05-31,GB,0.07017547331075336
2025-05-31,HistMean,0.07774961192892774
2025-05-31,MomentumTop3,0.05574805879258633
2025-05-31,RF,0.07395127118289742
2025-05-31,Ridge,0.04346706177584199
2025-05-31,SPY,0.06284497903783204
2025-06-30,EqualWeight,0.029372265088618416
2025-06-30,GB,0.02947500757477317
2025-06-30,HistMean,0.05524043866631537
2025-06-30,MomentumTop3,0.02863827178124323
2025-06-30,RF,0.030653176736612126
2025-06-30,Ridge,0.03565040201681498
2025-06-30,SPY,0.05138616104558413
2025-07-31,EqualWeight,0.012922974916770549
2025-07-31,GB,0.004533929756610341
2025-07-31,HistMean,0.022663806292088085
2025-07-31,MomentumTop3,0.026514179305730114
2025-07-31,RF,0.01390775039845001
