Ticker,Indicator,Number of observations,Mean,Median,Skewness,Kurtosis,Min,Max,Standard Deviation,Sharpe Ratio
XLP,rel_strength3m,119.0,-0.017261802609853393,-0.02316002538268469,0.46235046697087195,0.17114817057571896,-0.15548891329521708,0.1267299859162797,0.05574606327892237,-1.1752916690938384
XLP,beta12m,119.0,0.5844252306633636,0.5947135709133479,0.56152347632265,2.8019069186958485,-0.0032643020222947,1.529126249483239,0.2341236483759169,8.622739112502066
XLP,corr12m,119.0,0.6408154081019847,0.7017879290983059,-1.0337181933364736,0.32946169061343866,-0.0038502070840811062,0.937460996012336,0.22782192515106872,9.718680251198574
XLP,drawdown6m,119.0,-0.06631430308213591,-0.06015636667697033,-0.4661180563871967,-0.8195543602098945,-0.13630327036013812,-0.0042329743184200685,0.038393393104831995,-6.132324101342411
XLU,ret1m,119.0,0.009818224618900305,0.01596129591026041,-0.3823211139559738,0.02936998539936919,-0.11281005553624934,0.10552057938776738,0.04375895947033638,0.6464980577013518
XLU,ret3m,119.0,0.029161486581197424,0.035912944924292645,-0.5558254822593898,1.0570841586019264,-0.1651479507940642,0.18235498011910645,0.059526049886352815,1.6009311468201248
XLU,ret6m,119.0,0.05691381211829516,0.06762081470440384,-0.2683270698648516,-0.3898526897117982,-0.12440466991874988,0.2331333091830904,0.08205863512266551,2.3328926046717
XLU,ret12m,119.0,0.10789424358392385,0.1244254141790454,-0.012084190500433974,-0.4331882525245345,-0.11893885608719312,0.36284240858711403,0.10057823160905818,3.6591951570410997
XLU,vol3m,119.0,0.04283908543862409,0.03975630228829919,0.47846615797267117,-0.3793456625341953,0.006588609853057864,0.09626919698369085,0.020858853159493936,6.840150727007196
XLU,vol6m,119.0,0.04288153392061748,0.04251810386107303,0.15182038550594168,-0.6589758836135458,0.014401616082472622,0.07680293038010573,0.014827110911215398,9.632675327898705
XLU,vol12m,119.0,0.04369305759332759,0.04357410149264937,-0.10022692187319147,-0.8777706166557095,0.0231247123797768,0.06538050790011564,0.010917776845563994,13.339340781911407
XLU,mkt_ret1m,119.0,0.012548192473477899,0.01854927382248417,-0.5048257046247551,0.6804289006649258,-0.12487117726312935,0.12698372422306448,0.04370869029550203,0.8636032812633946
XLU,mkt_ret3m,119.0,0.03715174406204317,0.046399597676570536,-0.8630412805519092,1.5263310769792144,-0.20444076026634594,0.1923630380087724,0.06515897448681048,1.8873251478180948
XLU,mkt_vol6m,119.0,0.04101772790405747,0.039017028444813445,0.5765933628987929,-0.010890356530632861,0.00723591690158967,0.09345180835363445,0.02009329537926436,6.786757943494974
XLU,rel_strength3m,119.0,-0.007990257480845737,-0.0133566484720814,0.18761177013723926,-0.0495905465141675,-0.1639160202146811,0.15790756195904898,0.07004348376501024,-0.476851057442153
